tick,price
485,1678.712
486,1669.3760000000002
487,1666.664
488,1673.134
489,1665.589
490,1652.968
491,1652.709
492,1652.953
493,1623.141
494,1614.6950000000002
495,1615.963
496,1626.685
497,1629.4619999999998
498,1633.451
499,1628.275
500,1638.72
501,1785.1300000000003
502,1796.253
503,1794.9950000000001
504,1832.286
505,1822.902
506,1822.0190000000002
507,1812.4069999999997
508,1818.768
509,1826.3650000000002
510,1829.5469999999998
511,1810.7870000000003
512,1805.4540000000002
513,1797.06
514,1797.9340000000004
515,1796.277
516,1817.0900000000001
517,1834.8829999999998
518,1848.309
519,1840.194
520,1807.725
521,1807.0410000000004
522,1808.3910000000003
523,1812.8799999999999
524,1811.7970000000005
525,1682.691
526,1684.3480000000004
527,1675.7740000000001
528,1681.7350000000001
529,1672.937
530,1677.2190000000003
531,1671.328
532,1679.9290000000005
533,1686.4399999999998
534,1692.181
535,1670.8200000000002
536,1656.8129999999996
537,1655.843
538,1659.179
539,1637.619
540,1654.464
541,1649.4980000000003
542,1670.328
543,1674.4
544,1659.4180000000001
545,1650.0129999999997
546,1666.8850000000002
547,1669.4210000000003
548,1656.078
549,1620.8970000000002
550,1625.9810000000002
551,1631.426
552,1624.286
553,1625.3259999999998
554,1609.128
555,1632.1979999999999
556,1645.4689999999998
557,1657.747
558,1659.1030000000003
559,1670.2330000000002
560,1690.8440000000003
561,1687.23
562,1647.646
563,1640.1660000000004
564,1642.1000000000004
565,1649.1479999999997
566,1652.3310000000001
567,1649.3560000000002
568,1653.807
569,1667.0190000000002
570,1652.346
571,1664.9190000000003
572,1662.5530000000003
573,1639.5810000000001
574,1631.223
575,1624.975
576,1622.672
577,1621.1200000000001
578,1644.4889999999996
579,1648.0670000000002
580,1634.9110000000003
581,1642.3280000000002
582,1619.3750000000002
583,1638.4129999999998
584,1645.39
585,1627.6760000000002
586,1622.1450000000004
587,1624.245
588,1626.6869999999997
589,1637.015
590,1624.9660000000001
591,1621.0099999999998
592,1648.839
593,1654.7189999999998
594,1643.916
595,1646.78
596,1653.837
597,1655.9919999999997
598,1652.0580000000002
599,1623.7999999999997
600,1620.434
601,1615.3299999999997
602,1627.3159999999998
603,1626.7689999999998
604,1623.164
605,1614.6890000000003
606,1619.9909999999998
607,1635.2050000000002
608,1640.562
609,1632.8999999999999
610,1641.7449999999997
611,1652.775
612,1640.534
613,1663.0780000000002
614,1666.284
615,1672.997
616,1683.266
